market_id,fee_version_id,fee_version_effective_ts_utc,base_delivery_fee,weekend_addon,peak_hour_addon,fee_version_created_ts_utc
MKT_A,A_v1,2024-12-01 00:00:00+00:00,2.8,0.5,0.3,2024-12-01 00:00:00+00:00
MKT_A,A_v2,2025-02-01 00:00:00+00:00,3.4,0.55,0.32,2025-02-01 00:00:00+00:00
MKT_A,A_v3,2025-03-08 00:00:00+00:00,3.6,0.6,0.35,2025-03-08 00:00:00+00:00
MKT_B,B_v1,2024-12-01 00:00:00+00:00,2.6,0.45,0.28,2024-12-01 00:00:00+00:00
MKT_B,B_v2,2025-02-08 00:00:00+00:00,3.2,0.5,0.3,2025-02-08 00:00:00+00:00
MKT_B,B_v3,2025-03-12 00:00:00+00:00,3.3,0.52,0.32,2025-03-12 00:00:00+00:00
MKT_C,C_v1,2024-12-01 00:00:00+00:00,2.4,0.4,0.26,2024-12-01 00:00:00+00:00
MKT_C,C_v2,2025-02-15 00:00:00+00:00,3.0,0.45,0.28,2025-02-15 00:00:00+00:00
MKT_C,C_v3,2025-03-16 00:00:00+00:00,3.2,0.48,0.3,2025-03-16 00:00:00+00:00
MKT_D,D_v1,2024-12-01 00:00:00+00:00,3.0,0.55,0.34,2024-12-01 00:00:00+00:00
MKT_D,D_v2,2025-02-22 00:00:00+00:00,3.7,0.6,0.36,2025-02-22 00:00:00+00:00
MKT_E,E_v1,2024-12-01 00:00:00+00:00,2.7,0.48,0.3,2024-12-01 00:00:00+00:00
MKT_E,E_v2,2025-03-01 00:00:00+00:00,3.3,0.52,0.33,2025-03-01 00:00:00+00:00
MKT_F,F_v1,2024-12-01 00:00:00+00:00,2.5,0.42,0.27,2024-12-01 00:00:00+00:00
MKT_F,F_v2,2025-03-05 00:00:00+00:00,2.6,0.44,0.28,2025-03-05 00:00:00+00:00
MKT_G,G_v1,2024-12-01 00:00:00+00:00,2.9,0.55,0.33,2024-12-01 00:00:00+00:00
MKT_G,G_v2,2025-03-10 00:00:00+00:00,3.0,0.57,0.34,2025-03-10 00:00:00+00:00
MKT_H,H_v1,2024-12-01 00:00:00+00:00,2.7,0.47,0.3,2024-12-01 00:00:00+00:00
MKT_H,H_v2,2025-03-14 00:00:00+00:00,2.8,0.5,0.31,2025-03-14 00:00:00+00:00
