event_week,term,coef,std_err,p_value,ci_low,ci_high
-5,ev_m5,-0.008528967566636982,0.012712783533193385,0.5022861860930383,-0.03344602329169602,0.016388088158422052
-4,ev_m4,-0.0027226761608608483,0.009747898702569898,0.7800076746719529,-0.02182855761789785,0.01638320529617615
-3,ev_m3,-0.00661586593521513,0.009423883897717457,0.4826593480564123,-0.025086678374741343,0.011854946504311084
-2,ev_m2,0.0008158624962269057,0.003872604531893152,0.8331405742615927,-0.006774442386283672,0.008406167378737483
-1,baseline_omitted,0.0,,,,
0,ev_p0,0.0044926190174267334,0.005370654876405591,0.40286674391159083,-0.006033864540328225,0.015019102575181692
1,ev_p1,0.009208963205224291,0.005129114852034417,0.07258532407562648,-0.0008441019047631653,0.019262028315211746
2,ev_p2,0.0026345341694522083,0.006279413308170903,0.674813486236878,-0.009673115914562762,0.014942184253467179
3,ev_p3,0.012461066301076525,0.007701906390325109,0.10567989786373744,-0.002634670223960689,0.027556802826113738
4,ev_p4,0.012345272639411127,0.011391365345550823,0.2784803144861525,-0.009981803437868484,0.03467234871669074
5,ev_p5,0.005045274725364594,0.014175877454725436,0.7219112325698251,-0.022739445085897262,0.03282999453662645
6,ev_p6,0.007622058152612972,0.018261885682884425,0.676403993207567,-0.0281712377858405,0.04341535409106644
